"Source:","/Users/masonmann/Documents/KiCad/ESP32_AudioBoard_Rev2/ESP32_AudioBoard_Rev2.sch"
"Date:","Tuesday, August 29, 2023 at 10:34:51 PM"
"Tool:","Eeschema (5.1.2-1)-1"
"Generator:","/Applications/KiCad/kicad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","58"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"JP1, ","1","9V_NJM","Jumper_NO_Small","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","Jumper, normally open, small symbol",""
"JP2, ","1","3.3V_NJM","Jumper_NO_Small","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","Jumper, normally open, small symbol",""
"JP3, ","1","T9_JP","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","Solder Jumper, 2-pole, open",""
"JP4, ","1","A_MUX_JP","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","Solder Jumper, 2-pole, open",""
"JP5, ","1","PT_JP","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","Solder Jumper, 2-pole, open",""
"JP6, ","1","DAC_JP","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","Solder Jumper, 2-pole, open",""
"R1, R2, R3, R21, R20, R19, R18, R17, R16, R15, R14, ","11","10k","R_US","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Resistor, US symbol",""
"R4, ","1","100k","R_US","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Resistor, US symbol",""
"R5, ","1","20k","R_US","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Resistor, US symbol",""
"R6, ","1","16","R_US","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Resistor, US symbol",""
"R8, R7, R10, R9, ","4","7k5","R_US","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Resistor, US symbol",""
"RV1, ","1","20k","R_POT_TRIM_US","mason_parts:masonsPotentiometer_Alpha_RD901F-40-00D_Single_Vertical","Trim-potentiometer, US symbol",""
"RV3, RV4, ","2","100k","R_POT_US","Potentiometer_THT:Potentiometer_Alps_RK097_Single_Horizontal_NoClearance","Potentiometer, US symbol",""
"SW1, SW2, ","2","SW_Push","SW_Push","Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm","Push button switch, generic, two pins",""
"SW3, ","1","SW_DIP_x08","SW_DIP_x08","Package_DIP:DIP-16_W7.62mm_Socket","8x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol",""
"U1, ","1","ESP32-WROOM-32","ESP32-WROOM-32","RF_Module:ESP32-WROOM-32","RF Module, ESP32-D0WDQ6 SoC, Wi-Fi 802.11b/g/n, Bluetooth, BLE, 32-bit, 2.7-3.6V, onboard antenna, SMD",""
"U2, ","1","LM1117-3.3","LM1117-3.3","Package_TO_SOT_SMD:SOT-223","800mA Low-Dropout Linear Regulator, 3.3V fixed output, TO-220/TO-252/TO-263/SOT-223",""
"U3, ","1","NE5532","NE5532","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","Dual Low-Noise Operational Amplifiers, DIP-8/SOIC-8",""
"U4, ","1","NJM2073S","NJM2073S","Package_SIP:SIP-9_21.54x3mm_P2.54mm","",""
"U5, ","1","PT8211","PT8211","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","",""
"U7, U6, ","2","4051","4051","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","Analog Multiplexer 8 to 1 lins",""
